Genus_Species,male_mass,male_mass_n,male_mass_sd,male_logmass_sd,female_mass,female_mass_n,female_mass_sd,female_logmass_sd,male_shoulder_height,female_shoulder_height,female_mean_psl,female_psl_n,Tribe,Genus,n,mean_ant_vol,max_ant_vol,mean_psl,mean_mbl,max_mbl,mean_ant_area,mean_vol_by_area,se_raw_ant_vol,se_raw_psl,se_raw_mbl,log_ant_vol,log_psl,log_mbl,log_ant_area,log_ant_vol_sd,log_psl_sd,log_mbl_sd,log_ant_area_sd,log_psl_var_est,log_vol_var_est,log_mbl_var_est,log_area_var_est,Rudimentary,BGS,Plard_MBL,Plard_MaleMass,Plard_FemaleMass,CB_MBL,CB_Shoulder,male_logmass_se,female_logmass_se,SSD_mass,SSD_psl,SSD_SH,log_ant_vol_se,log_psl_se,log_mbl_se,log_area_se
Cervus_canadensis,375.4814815,27,22.83009709,0.064140703,222.875,4,6.420994212,0.02888424,161.28,NA,15.52,10,Cervini,Cervus,14,7.100213071,12.625843,18.08928571,111.5964286,134.85,34.05442143,10.11648885,0.746948601,0.27716077,3.749323984,1.960124794,2.895319814,4.714889047,3.527959875,0.429283686,0.057711196,0.129198247,0.305024096,0.003949579,0.207578671,0.025324209,0.118528916,no,C,133.7,350,250,147.4,160,0.012343884,0.01444212,0.521598077,0.153190299,NA,0.121766366,0.016796214,0.042530837,0.092012777
Cervus_elaphus_atlanticus,149.9586259,77,17.33378342,0.116611452,106.8828757,28,2.832733129,0.026852257,NA,NA,12.3513485,NA,Cervini,Cervus,51,1.83981549,3.087296,15.64686275,70.39254902,85.75,12.08238627,7.49849666,0.072388397,0.117067683,0.971394544,0.60966529,2.750270433,4.25408742,2.491748712,0.294369056,0.053556161,0.100703817,0.213867416,0.003165744,0.108186319,0.014116083,0.067828858,no,C,93.6,NA,NA,93.6,121.9,0.013289108,0.0050746,0.338625813,0.236505186,NA,0.046057577,0.007878668,0.016636885,0.036468858
Cervus_nippon,119.8,2,3.959797975,0.033059426,71.1,2,0.141421356,0.00198905,NA,NA,10.80723415,NA,NA,NA,NA,NA,NA,12.83403212,NA,NA,NA,NA,NA,NA,NA,NA,2.552100402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023376544,0.001406471,0.521736349,0.171884664,NA,NA,NA,NA,NA
Cervus_nippon_centralis,65.49606742,178,10.47525429,0.161066534,41.12571429,385,5.344726648,0.126558442,82.36,NA,8.6,6,Cervini,Cervus,19,0.485903895,0.93773,10.55789474,46.90263158,66.25,4.721226316,4.940415112,0.052852713,0.231612172,2.4670207,-0.721744422,2.356873896,3.848073784,1.552068579,0.518758141,0.098606876,0.241538727,0.394486239,0.008141816,0.262275308,0.052793968,0.148574685,no,B,48,52,37,56.7,80.9,0.012072447,0.006450015,0.465356524,0.205111693,NA,0.11749027,0.020700643,0.052712711,0.088429182
Cervus_nippon_keramae,35.5,1,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.608626243,NA,NA,NA,NA,NA,NA,NA,NA,2.152764752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,NA,NA,NA,NA
Cervus_nippon_mageshimae,28.9,1,NA,0.105858446,22.4,1,NA,0.088979503,NA,NA,7.40248753,NA,NA,NA,NA,NA,NA,8.04645598,NA,NA,NA,NA,NA,NA,NA,NA,2.085231744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,0.254780636,0.083415647,NA,NA,NA,NA,NA
Cervus_nippon_nippon,58.52972973,37,9.687362902,0.18720228,42.1,83,12.0528005,0.266680733,NA,NA,9.102366806,NA,NA,NA,NA,NA,NA,10.14444922,NA,NA,NA,NA,NA,NA,NA,NA,2.316926681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030775865,0.029272013,0.329487085,0.108392213,NA,NA,NA,NA,NA
Cervus_nippon_pulchellus,66.5,35,NA,0.105858446,42.8,22,NA,0.088979503,NA,NA,9.15167476,NA,NA,NA,NA,NA,NA,10.57870126,NA,NA,NA,NA,NA,NA,NA,NA,2.358842665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017893343,0.018970494,0.440663845,0.144905768,NA,NA,NA,NA,NA
Cervus_nippon_yakushimae,45,1,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.305631822,NA,NA,NA,NA,NA,NA,NA,NA,2.230619789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,NA,NA,NA,NA
Cervus_nippon_yesoensis,126.4956897,116,33.16330804,0.326239793,82.25096154,208,17.32411614,0.244186166,NA,NA,11.33555995,NA,NA,NA,NA,NA,NA,13.06525048,NA,NA,NA,NA,NA,NA,NA,NA,2.56995607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030290604,0.016931264,0.430433154,0.142011388,NA,NA,NA,NA,NA
